rank,gsis_id,position,season_total_mean,n_weeks,full_name,team
381,00-0038720,TE,57.488992459443715,17,Julian Hill,NE
382,00-0033576,TE,57.41758930269175,17,Eric Saubert,SEA
383,00-0036887,TE,57.06804335738147,17,Luke Farrell,SF
384,00-0036429,TE,56.71809176115833,17,Charlie Woerner,ATL
385,00-0038389,RB,56.679256550849985,13,Israel Abanikanda,DAL
386,00-0038115,TE,56.59521353380599,17,Daniel Bellinger,TEN
387,00-0034928,WR,56.514208792669024,15,Steven Sims,ARI
388,00-0035806,RB,55.840283966026455,17,JaMycal Hasty,
389,00-0035662,WR,55.70217340428655,7,Marquise Brown,PHI
390,00-0039379,WR,55.25990356464235,13,Jamari Thrash,CLE
391,00-0037304,TE,54.852819543088266,18,Connor Heyward,LV
392,00-0038685,RB,54.700095703004315,14,Chris Brooks,GB
393,00-0039853,WR,54.41343297369037,17,Javon Baker,SF
394,00-0033251,WR,54.17050215492764,17,Zach Pascal,
395,00-0033891,WR,53.46131052037255,10,Zay Jones,ARI
396,00-0034798,TE,53.188142196469734,17,Durham Smythe,BAL
397,00-0031585,TE,53.037342911097355,18,MyCole Pruitt,
398,00-0038359,WR,52.81900549541833,14,Xavier Smith,LAR
399,00-0039373,RB,52.737997606818915,13,Audric Estime,NO
400,00-0033943,WR,52.248571174612486,6,Josh Reynolds,NYJ
401,00-0039451,WR,52.18513392877187,9,Isaiah Williams,NYJ
402,00-0039107,QB,51.7238396010839,9,Stetson Bennett,LAR
403,00-0038647,WR,51.71357154313931,12,Ronnie Bell,NO
404,00-0038477,WR,51.489633721431865,17,Bryce Ford-Wheaton,NYG
405,00-0039066,TE,50.98807398958615,11,Michael Mayer,LV
406,00-0031236,WR,50.429086268119455,5,Brandin Cooks,BUF
407,00-0038046,TE,50.33928011486205,13,Charlie Kolar,LAC
408,00-0039394,WR,50.30634518334013,15,Casey Washington,ATL
409,00-0033895,TE,50.24240720118917,17,Gerald Everett,
410,00-0037093,WR,49.75739184419168,17,Dareke Young,LV
411,00-0033439,TE,49.60214224412578,17,Pharaoh Brown,ARI
412,00-0037429,RB,49.18685976141124,17,Raheem Blackshear,NYJ
413,00-0039543,WR,48.94629904907158,12,Ramel Keyton,
414,00-0036268,WR,48.86072594119202,13,Laviska Shenault,
415,00-0034791,RB,48.71520812518222,6,Nick Chubb,HOU
416,00-0036590,TE,48.238907676163215,20,Quintin Morris,JAC
417,00-0038589,TE,47.782682963433764,14,Josh Whyle,GB
418,00-0034830,TE,47.75017731378932,11,Hayden Hurst,
419,00-0038622,RB,47.42632606836473,17,Deuce Vaughn,DEN
420,00-0039814,TE,47.385544489636835,10,Erick All,CIN
421,00-0038104,WR,47.1711222000841,11,Tyquan Thornton,KC
422,00-0032394,TE,46.6851178356864,17,Nick Vannett,LAR
423,00-0036425,RB,46.52171823954065,17,DeeJay Dallas,JAC
424,00-0038636,RB,46.36292823073615,17,Kenny McIntosh,SEA
425,00-0039747,WR,45.29416530722057,10,Ainias Smith,CAR
426,00-0035291,RB,44.76957378187888,17,Trayveon Williams,CLE
427,00-0036950,RB,44.71770820882403,17,Avery Williams,NYJ
428,00-0039530,TE,44.55720595957715,17,Brevyn Spann-Ford,DAL
429,00-0037132,WR,44.30473019508976,9,Britain Covey,PHI
430,00-0038809,TE,44.288305577196354,18,Ben Sims,MIA
431,00-0037594,RB,44.09758781487292,17,Julius Chestnut,TEN
432,00-0037292,TE,44.06968364897663,17,Drew Ogletree,IND
433,00-0038821,WR,43.44241823741494,9,Rakim Jarrett,PIT
434,00-0038394,TE,42.610648903967174,17,Will Mallory,IND
435,00-0036646,WR,41.898630933030006,9,Simi Fehoko,ARI
436,00-0038678,RB,41.3229667812061,15,Jordan Mims,TEN
437,00-0038824,WR,41.216105899931975,9,Ryan Miller,NYG
